,# of A,# of B,# of X,W_A,EN_A,EA_A,1st IE_A,2nd IE_A,3rd IE_A,AR_A,CR_A,IR_A,D_A,S_A,HV_A,W_B,EN_B,EA_B,1st IE_B,2nd IE_B,3rd IE_B,AR_B,CR_B,IR_B,D_B,S_B,HV_B,OS_B,W_X,EN_X,EA_X,1st IE_X,2nd IE_X,3rd IE_X,AR_X,CR_X,IR_X,D_X,S_X,HV_X,t(AR),t(IR),u(AR),u(IR),Eg_ref,Eg_cal_cubic,Eg_cal_rhom
CsZnBr3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,65.38,1.65,-58.00,906.40,1733.30,3833.00,142.00,131.00,0.74,7140.00,388.00,119.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.17,1.01,1.51,0.38,1.28,1.28,1.28
CsZnCl3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,65.38,1.65,-58.00,906.40,1733.30,3833.00,142.00,131.00,0.74,7140.00,388.00,119.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.21,1.02,1.80,0.41,2.85,2.85,2.85
KGeBr3,1,1,3,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,72.63,2.01,119.00,762.00,1537.50,3302.10,125.00,122.00,0.73,5323.00,321.40,334.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.09,0.95,1.33,0.37,0.80,0.80,0.80
KGeCl3,1,1,3,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,72.63,2.01,119.00,762.00,1537.50,3302.10,125.00,122.00,0.73,5323.00,321.40,334.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.12,0.96,1.58,0.40,1.16,1.16,1.16
KGeI3,1,1,3,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,72.63,2.01,119.00,762.00,1537.50,3302.10,125.00,122.00,0.73,5323.00,321.40,334.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.05,0.93,1.09,0.33,0.56,0.56,0.56
KPbBr3,1,1,3,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,207.20,2.33,35.10,715.60,1450.50,3081.50,154.00,147.00,1.19,11340.00,127.00,178.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,0.96,0.81,1.64,0.61,1.18,1.18,1.18
KPbCl3,1,1,3,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,207.20,2.33,35.10,715.60,1450.50,3081.50,154.00,147.00,1.19,11340.00,127.00,178.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.98,0.81,1.95,0.66,1.70,1.70,1.70
KPbI3,1,1,3,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,207.20,2.33,35.10,715.60,1450.50,3081.50,154.00,147.00,1.19,11340.00,127.00,178.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,0.94,0.80,1.34,0.54,0.71,0.71,0.71
KSiBr3,1,1,3,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,28.09,1.90,133.60,786.50,1577.10,3231.60,111.00,111.00,0.40,2330.00,710.00,359.00,4.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.16,1.08,1.18,0.20,0.09,0.09,0.09
KSiCl3,1,1,3,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,28.09,1.90,133.60,786.50,1577.10,3231.60,111.00,111.00,0.40,2330.00,710.00,359.00,4.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.20,1.10,1.41,0.22,0.08,0.08,0.08
KSnBr3,1,1,3,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,118.71,1.61,42.50,577.50,1411.80,2943.00,145.00,118.00,0.69,2700.00,217.00,293.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.00,0.96,1.54,0.35,0.46,0.46,0.46
KSnCl3,1,1,3,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,118.71,1.61,42.50,577.50,1411.80,2943.00,145.00,118.00,0.69,2700.00,217.00,293.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.02,0.98,1.84,0.38,0.95,0.95,0.95
KSnI3,1,1,3,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,118.71,1.61,42.50,577.50,1411.80,2943.00,145.00,118.00,0.69,2700.00,217.00,293.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,0.97,0.94,1.26,0.31,0.12,0.12,0.12
RbGeBr3,1,1,3,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,72.63,2.01,119.00,762.00,1537.50,3302.10,125.00,122.00,0.73,5323.00,321.40,334.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.16,0.97,1.33,0.37,0.88,0.88,0.88
RbGeCl3,1,1,3,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,72.63,2.01,119.00,762.00,1537.50,3302.10,125.00,122.00,0.73,5323.00,321.40,334.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.19,0.98,1.58,0.40,1.26,1.26,1.26
RbGeI3,1,1,3,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,72.63,2.01,119.00,762.00,1537.50,3302.10,125.00,122.00,0.73,5323.00,321.40,334.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.12,0.95,1.09,0.33,0.62,0.62,0.62
RbPbBr3,1,1,3,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,207.20,2.33,35.10,715.60,1450.50,3081.50,154.00,147.00,1.19,11340.00,127.00,178.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.02,0.83,1.64,0.61,1.22,1.22,1.22
RbPbCl3,1,1,3,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,207.20,2.33,35.10,715.60,1450.50,3081.50,154.00,147.00,1.19,11340.00,127.00,178.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.04,0.83,1.95,0.66,1.74,1.74,1.74
RbPbI3,1,1,3,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,207.20,2.33,35.10,715.60,1450.50,3081.50,154.00,147.00,1.19,11340.00,127.00,178.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.00,0.82,1.34,0.54,0.74,0.74,0.74
RbSiBr3,1,1,3,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,28.09,1.90,133.60,786.50,1577.10,3231.60,111.00,111.00,0.40,2330.00,710.00,359.00,4.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.24,1.10,1.18,0.20,0.09,0.09,0.09
RbSnBr3,1,1,3,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,118.71,1.61,42.50,577.50,1411.80,2943.00,145.00,118.00,0.69,2700.00,217.00,293.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.06,0.98,1.54,0.35,0.50,0.50,0.50
RbSnCl3,1,1,3,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,118.71,1.61,42.50,577.50,1411.80,2943.00,145.00,118.00,0.69,2700.00,217.00,293.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.09,1.00,1.84,0.38,1.00,1.00,1.00
