,# of A,# of B,# of X,W_A,EN_A,EA_A,1st IE_A,2nd IE_A,3rd IE_A,AR_A,CR_A,IR_A,D_A,S_A,HV_A,W_B,EN_B,EA_B,1st IE_B,2nd IE_B,3rd IE_B,AR_B,CR_B,IR_B,D_B,S_B,HV_B,OS_B,W_X,EN_X,EA_X,1st IE_X,2nd IE_X,3rd IE_X,AR_X,CR_X,IR_X,D_X,S_X,HV_X,t(AR),t(IR),u(AR),u(IR),Eg_ref,Eg_cal_cubic,Eg_cal_rhom
Cs4Mnl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,54.94,1.55,-50.00,717.30,1509.00,3248.00,161.00,139.00,0.83,7470.00,479.00,220.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.06,0.95,1.40,0.38,3.56,3.56,3.56
Cs4NiBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,58.69,1.91,112.00,737.10,1753.00,3395.00,149.00,121.00,0.69,8908.00,445.00,378.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.14,1.02,1.59,0.35,3.94,3.94,3.94
Cs4NiCl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,58.69,1.91,112.00,737.10,1753.00,3395.00,149.00,121.00,0.69,8908.00,445.00,378.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.17,1.04,1.89,0.38,4.61,4.61,4.61
Cs4Nil6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,58.69,1.91,112.00,737.10,1753.00,3395.00,149.00,121.00,0.69,8908.00,445.00,378.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.11,1.00,1.30,0.31,2.91,2.91,2.91
Cs4PbBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,207.20,2.33,35.10,715.60,1450.50,3081.50,154.00,147.00,1.19,11340.00,127.00,178.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.12,0.86,1.64,0.61,4.20,4.20,4.20
Cs4PbCl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,207.20,2.33,35.10,715.60,1450.50,3081.50,154.00,147.00,1.19,11340.00,127.00,178.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.14,0.87,1.95,0.66,4.71,4.71,4.71
Cs4Pbl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,207.20,2.33,35.10,715.60,1450.50,3081.50,154.00,147.00,1.19,11340.00,127.00,178.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.09,0.85,1.34,0.54,3.52,3.52,3.52
Cs4SiBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,28.09,1.90,133.60,786.50,1577.10,3231.60,111.00,111.00,0.40,2330.00,710.00,359.00,4.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.35,1.15,1.18,0.20,3.95,3.95,3.95
Cs4SiCl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,28.09,1.90,133.60,786.50,1577.10,3231.60,111.00,111.00,0.40,2330.00,710.00,359.00,4.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.40,1.18,1.41,0.22,4.27,4.27,4.27
Cs4Sil6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,28.09,1.90,133.60,786.50,1577.10,3231.60,111.00,111.00,0.40,2330.00,710.00,359.00,4.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.29,1.11,0.97,0.18,3.46,3.46,3.46
Cs4SnBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,118.71,1.61,42.50,577.50,1411.80,2943.00,145.00,118.00,0.69,2700.00,217.00,293.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.16,1.02,1.54,0.35,4.11,4.11,4.11
Cs4SnCl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,118.71,1.61,42.50,577.50,1411.80,2943.00,145.00,118.00,0.69,2700.00,217.00,293.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.19,1.04,1.84,0.38,4.47,4.47,4.47
Cs4SrBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,87.62,0.95,5.03,549.50,1064.20,4138.00,219.00,192.00,1.18,2630.00,300.00,137.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,0.89,0.86,2.33,0.60,5.40,5.40,5.40
Cs4SrCl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,87.62,0.95,5.03,549.50,1064.20,4138.00,219.00,192.00,1.18,2630.00,300.00,137.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.89,0.87,2.77,0.65,6.31,6.31,6.31
Cs4Srl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,87.62,0.95,5.03,549.50,1064.20,4138.00,219.00,192.00,1.18,2630.00,300.00,137.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,0.87,0.85,1.90,0.54,4.58,4.58,4.58
Cs4TiBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,47.87,1.54,7.60,658.80,1309.80,2652.50,176.00,136.00,0.61,4507.00,520.00,425.00,4.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.03,1.06,1.87,0.31,2.51,2.51,2.51
Cs4TiCl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,47.87,1.54,7.60,658.80,1309.80,2652.50,176.00,136.00,0.61,4507.00,520.00,425.00,4.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.05,1.08,2.23,0.33,2.30,2.30,2.30
Cs4TiI6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,47.87,1.54,7.60,658.80,1309.80,2652.50,176.00,136.00,0.61,4507.00,520.00,425.00,4.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.00,1.03,1.53,0.28,2.37,2.37,2.37
Cs4VBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,50.94,1.63,50.60,650.90,1414.00,2830.00,171.00,125.00,0.54,6110.00,489.00,453.00,5.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.05,1.09,1.82,0.28,3.26,3.26,3.26
Cs4VCl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,50.94,1.63,50.60,650.90,1414.00,2830.00,171.00,125.00,0.54,6110.00,489.00,453.00,5.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.07,1.11,2.16,0.30,3.26,3.26,3.26
Cs4VI6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,50.94,1.63,50.60,650.90,1414.00,2830.00,171.00,125.00,0.54,6110.00,489.00,453.00,5.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.02,1.05,1.49,0.25,3.46,3.46,3.46
Cs4ZnBr6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,65.38,1.65,-58.00,906.40,1733.30,3833.00,142.00,131.00,0.74,7140.00,388.00,119.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.17,1.01,1.51,0.38,4.37,4.37,4.37
Cs4ZnCl6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,65.38,1.65,-58.00,906.40,1733.30,3833.00,142.00,131.00,0.74,7140.00,388.00,119.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.21,1.02,1.80,0.41,5.47,5.47,5.47
Cs4ZnI6,4,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,65.38,1.65,-58.00,906.40,1733.30,3833.00,142.00,131.00,0.74,7140.00,388.00,119.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.14,0.98,1.23,0.34,3.14,3.14,3.14
