,,# of A,# of B,# of X,W_B,EN_B,EA_B,1IE_B,2IE_B,3IE_B,D_B,S_B,HV_B,W_X,S_X,t(AR),u(IR),Eg (eV)
Cs2CuAsCl6,A2BB'X6,2,2,6,69.23,2.04,98.20,846.25,1877.95,3145.00,7343.50,356.20,166.20,35.45,478.20,1.28,0.36,2.18
Cs2CuAsI6,A2BB'X6,2,2,6,69.23,2.04,98.20,846.25,1877.95,3145.00,7343.50,356.20,166.20,126.90,429.00,1.19,0.30,0.57
Cs2CuBiBr6,A2BB'X6,2,2,6,136.26,1.96,104.80,724.25,1783.95,3010.50,9370.00,253.20,230.00,79.90,947.30,1.16,0.45,1.94
Cs2CuBiCl6,A2BB'X6,2,2,6,136.26,1.96,104.80,724.25,1783.95,3010.50,9370.00,253.20,230.00,35.45,478.20,1.20,0.49,2.51
Cs2CuBiI6,A2BB'X6,2,2,6,136.26,1.96,104.80,724.25,1783.95,3010.50,9370.00,253.20,230.00,126.90,429.00,1.13,0.40,1.23
Cs2CuSbBr6,A2BB'X6,2,2,6,92.65,1.98,110.80,789.75,1776.40,2997.50,7828.50,295.70,184.00,79.90,947.30,1.19,0.38,1.59
Cs2CuSbCl6,A2BB'X6,2,2,6,92.65,1.98,110.80,789.75,1776.40,2997.50,7828.50,295.70,184.00,35.45,478.20,1.22,0.41,2.22
Cs2CuSbI6,A2BB'X6,2,2,6,92.65,1.98,110.80,789.75,1776.40,2997.50,7828.50,295.70,184.00,126.90,429.00,1.15,0.34,0.89
Cs2KInBr6,A2BB'X6,2,2,6,76.96,1.30,38.65,488.55,2436.35,3562.00,4083.00,495.00,153.45,79.90,947.30,0.94,0.56,3.61
Cs2KInCl6,A2BB'X6,2,2,6,76.96,1.30,38.65,488.55,2436.35,3562.00,4083.00,495.00,153.45,35.45,478.20,0.96,0.60,5.07
Cs2KSbCl6,A2BB'X6,2,2,6,80.43,1.44,75.80,626.40,2323.45,3430.00,3776.50,482.00,72.45,35.45,478.20,1.00,0.59,4.17
K2NaInCl6,A2BB'X6,2,2,6,68.90,1.36,40.85,527.05,3191.35,4807.15,4139.00,731.50,163.85,35.45,478.20,0.90,0.50,4.60
Rb2AgInCl6,A2BB'X6,2,2,6,111.34,1.86,77.25,644.65,1945.35,3032.50,8900.00,234.00,242.50,35.45,478.20,1.02,0.54,2.42
Rb2AgSbCl6,A2BB'X6,2,2,6,114.81,1.99,114.40,782.50,1832.45,2900.50,8593.50,221.00,161.50,35.45,478.20,1.07,0.53,2.27
Rb2KInCl6,A2BB'X6,2,2,6,76.96,1.30,38.65,488.55,2436.35,3562.00,4083.00,495.00,153.45,35.45,478.20,0.87,0.60,5.12
Rb2NaInBr6,A2BB'X6,2,2,6,68.90,1.36,40.85,527.05,3191.35,4807.15,4139.00,731.50,163.85,79.90,947.30,0.95,0.46,3.00
Rb2NaInCl6,A2BB'X6,2,2,6,68.90,1.36,40.85,527.05,3191.35,4807.15,4139.00,731.50,163.85,35.45,478.20,0.97,0.50,4.56
Rb2NaSbCl6,A2BB'X6,2,2,6,72.37,1.49,78.00,664.90,3078.45,4675.15,3832.50,718.50,82.85,35.45,478.20,1.01,0.49,3.90
Cs3Al2Br9,A3B2X9,3,2,9,26.98,1.61,42.50,577.50,1816.70,2744.80,2700.00,904.00,293.00,79.90,947.30,1.31,0.27,2.46
Cs3Al2Cl9,A3B2X9,3,2,9,26.98,1.61,42.50,577.50,1816.70,2744.80,2700.00,904.00,293.00,35.45,478.20,1.35,0.30,4.01
Cs3Al2I9,A3B2X9,3,2,9,26.98,1.61,42.50,577.50,1816.70,2744.80,2700.00,904.00,293.00,126.90,429.00,1.25,0.24,0.87
Cs3As2Br9,A3B2X9,3,2,9,74.92,2.18,78.00,947.00,1798.00,2735.00,5727.00,328.00,32.40,79.90,947.30,1.33,0.30,2.62
Cs3As2Cl9,A3B2X9,3,2,9,74.92,2.18,78.00,947.00,1798.00,2735.00,5727.00,328.00,32.40,35.45,478.20,1.38,0.32,3.28
Cs3As2I9,A3B2X9,3,2,9,74.92,2.18,78.00,947.00,1798.00,2735.00,5727.00,328.00,32.40,126.90,429.00,1.28,0.26,1.81
Cs3B2Br9,A3B2X9,3,2,9,10.81,2.04,26.70,800.60,2427.10,3659.70,2460.00,1030.00,507.00,79.90,947.30,1.53,0.14,1.90
Cs3B2Cl9,A3B2X9,3,2,9,10.81,2.04,26.70,800.60,2427.10,3659.70,2460.00,1030.00,507.00,35.45,478.20,1.61,0.15,2.96
Cs3B2I9,A3B2X9,3,2,9,10.81,2.04,26.70,800.60,2427.10,3659.70,2460.00,1030.00,507.00,126.90,429.00,1.45,0.12,0.37
Cs3Bi2Br9,A3B2X9,3,2,9,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,79.90,947.30,1.21,0.32,2.51
Ag3Ga2Br9,A3B2X9,3,2,9,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,35.45,478.20,1.24,0.34,0.86
Ag3Ga2Cl9,A3B2X9,3,2,9,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,126.90,429.00,1.16,0.28,2.33
Cs3Bi2Cl9,A3B2X9,3,2,9,208.98,2.02,91.20,703.00,1610.00,2466.00,9780.00,122.00,160.00,35.45,478.20,1.20,0.57,3.01
Cs3Bi2I9,A3B2X9,3,2,9,208.98,2.02,91.20,703.00,1610.00,2466.00,9780.00,122.00,160.00,126.90,429.00,1.13,0.47,1.83
Cs3Cr2Br9,A3B2X9,3,2,9,52.00,1.66,64.30,652.90,1590.60,2987.00,7190.00,448.00,339.00,79.90,947.30,1.07,0.31,2.72
Cs3Cr2Cl9,A3B2X9,3,2,9,52.00,1.66,64.30,652.90,1590.60,2987.00,7190.00,448.00,339.00,35.45,478.20,1.09,0.34,3.59
Cs3Cr2I9,A3B2X9,3,2,9,52.00,1.66,64.30,652.90,1590.60,2987.00,7190.00,448.00,339.00,126.90,429.00,1.04,0.28,1.46
Cs3Fe2Br9,A3B2X9,3,2,9,55.85,1.83,15.70,762.50,1561.90,2957.00,7874.00,449.00,347.00,79.90,947.30,1.11,0.40,2.61
Cs3Fe2Cl9,A3B2X9,3,2,9,55.85,1.83,15.70,762.50,1561.90,2957.00,7874.00,449.00,347.00,35.45,478.20,1.13,0.43,3.05
Cs3Ga2Br9,A3B2X9,3,2,9,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,79.90,947.30,1.21,0.32,1.47
Cs3Ga2Cl9,A3B2X9,3,2,9,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,35.45,478.20,1.24,0.34,2.83
Cs3In2Br9,A3B2X9,3,2,9,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,79.90,947.30,1.11,0.41,1.83
Cs3In2Cl9,A3B2X9,3,2,9,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,35.45,478.20,1.13,0.44,3.16
Cs3In2I9,A3B2X9,3,2,9,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,126.90,429.00,1.08,0.36,0.38
