,Band gap (eV),Structure,A-site,B-site,B'-site,X-site,W_B,EN_B,EA_B,1IE_B,2IE_B,3IE_B,D_B,S_B,HV_B,W_X,S_X,t(AR),u(IR)
Cs3Fe2Cl9,3.05,A3B2X9,Cs,Fe,,Cl,55.85,1.83,15.70,762.50,1561.90,2957.00,7874.00,449.00,347.00,35.45,478.20,1.13,0.43
Cs3Ga2Br9,1.47,A3B2X9,Cs,Ga,,Br,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,79.90,947.30,1.21,0.32
Cs3Ga2Cl9,2.83,A3B2X9,Cs,Ga,,Cl,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,35.45,478.20,1.24,0.34
Cs3In2Br9,1.83,A3B2X9,Cs,In,,Br,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,79.90,947.30,1.11,0.41
Cs3In2Cl9,3.16,A3B2X9,Cs,In,,Cl,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,35.45,478.20,1.13,0.44
Cs3In2I9,0.38,A3B2X9,Cs,In,,I,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,126.90,429.00,1.08,0.36
Cs3Sb2Br9,2.37,A3B2X9,Cs,Sb,,Br,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,79.90,947.30,1.22,0.39
Cs3Sb2Cl9,2.77,A3B2X9,Cs,Sb,,Cl,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,35.45,478.20,1.26,0.42
Cs3Sb2l9,1.77,A3B2X9,Cs,Sb,,I,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,126.90,429.00,1.18,0.35
Cs3Sc2Br9,4.68,A3B2X9,Cs,Sc,,Br,44.96,1.36,18.10,633.10,1235.00,2388.60,2985.00,567.00,318.00,79.90,947.30,1.00,0.38
Cs3Sc2Cl9,5.69,A3B2X9,Cs,Sc,,Cl,44.96,1.36,18.10,633.10,1235.00,2388.60,2985.00,567.00,318.00,35.45,478.20,1.01,0.41
Cs3Sc2I9,3.42,A3B2X9,Cs,Sc,,I,44.96,1.36,18.10,633.10,1235.00,2388.60,2985.00,567.00,318.00,126.90,429.00,0.98,0.34
Cs3Ti2I9,1.79,A3B2X9,Cs,Ti,,I,47.87,1.54,7.60,658.80,1309.80,2652.50,4507.00,520.00,425.00,126.90,429.00,1.00,0.28
Cs3V2Br9,2.19,A3B2X9,Cs,V,,Br,50.94,1.63,50.60,650.90,1414.00,2830.00,6110.00,489.00,453.00,79.90,947.30,1.05,0.28
Cs3V2Cl9,2.55,A3B2X9,Cs,V,,Cl,50.94,1.63,50.60,650.90,1414.00,2830.00,6110.00,489.00,453.00,35.45,478.20,1.07,0.30
Cs3W2Br9,1.62,A3B2X9,Cs,W,,Br,183.84,2.36,78.60,770.00,1700.00,2510.00,19250.00,132.00,800.00,79.90,947.30,0.97,0.31
Cs3W2Cl9,1.60,A3B2X9,Cs,W,,Cl,183.84,2.36,78.60,770.00,1700.00,2510.00,19250.00,132.00,800.00,35.45,478.20,0.98,0.33
Cu3Ga2Cl9,1.80,A3B2X9,Cu,Ga,,Cl,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,35.45,478.20,1.24,0.34
K3Ga2Br9,1.32,A3B2X9,K,Ga,,Br,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,79.90,947.30,1.04,0.32
K3Ga2Cl9,2.74,A3B2X9,K,Ga,,Cl,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,35.45,478.20,1.06,0.34
K3In2BI9,1.74,A3B2X9,K,In,,I,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,79.90,947.30,0.95,0.41
K3In2Cl9,3.14,A3B2X9,K,In,,Cl,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,35.45,478.20,0.97,0.44
K3In2I9,0.27,A3B2X9,K,In,,I,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,126.90,429.00,0.93,0.36
K3Sb2Br9,2.29,A3B2X9,K,Sb,,Br,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,79.90,947.30,1.05,0.39
K3Sb2Cl9,2.64,A3B2X9,K,Sb,,Cl,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,35.45,478.20,1.07,0.42
K3Sb2I9,1.68,A3B2X9,K,Sb,,I,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,126.90,429.00,1.02,0.35
Na3Ga2Br9,1.49,A3B2X9,Na,Ga,,Br,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,79.90,947.30,0.87,0.32
Na3Ga2Cl9,2.68,A3B2X9,Na,Ga,,Cl,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,35.45,478.20,0.88,0.34
Na3In2Br9,1.64,A3B2X9,Na,In,,Br,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,79.90,947.30,0.80,0.41
Na3In2I9,0.14,A3B2X9,Na,In,,I,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,126.90,429.00,0.80,0.36
